#ell    N_ell^TT    N_ell^EE    N_ell^BB    C_ell^TT(delensed)  N_ell^dd    N_ell^phiphi
1.240000000000000000e+02 7.617236913045986661e-13 1.523447382609197332e-12 1.523447382609197332e-12 1.462992000000000070e+00 1.386671457864193456e-15 8.946267470091570453e-20
1.250000000000000000e+02 7.617265971672747385e-13 1.523453194334549477e-12 1.523453194334549477e-12 1.453983000000000025e+00 1.364683438115992976e-15 8.664656749942812771e-20
1.260000000000000000e+02 7.617295262880712257e-13 1.523459052576142451e-12 1.523459052576142451e-12 1.445106999999999919e+00 1.343215954983036632e-15 8.394050462336185565e-20
1.270000000000000000e+02 7.617324786672559113e-13 1.523464957334511823e-12 1.523464957334511823e-12 1.436334999999999917e+00 1.322252693096748078e-15 8.133936350250664898e-20
1.280000000000000000e+02 7.617354543050995070e-13 1.523470908610199014e-12 1.523470908610199014e-12 1.427664000000000044e+00 1.301777971552654369e-15 7.883829769577605740e-20
1.290000000000000000e+02 7.617384532018744414e-13 1.523476906403748883e-12 1.523476906403748883e-12 1.419119999999999937e+00 1.281776714526681972e-15 7.643272000755408169e-20
1.300000000000000000e+02 7.617414753578551621e-13 1.523482950715710324e-12 1.523482950715710324e-12 1.410673999999999984e+00 1.262234423467092386e-15 7.411828675672885467e-20
1.310000000000000000e+02 7.617445207733185406e-13 1.523489041546637081e-12 1.523489041546637081e-12 1.402323999999999904e+00 1.243137150766210581e-15 7.189088311162448601e-20
1.320000000000000000e+02 7.617475894485433664e-13 1.523495178897086733e-12 1.523495178897086733e-12 1.394096000000000002e+00 1.224471474822636938e-15 6.974660941117776202e-20
1.330000000000000000e+02 7.617506813838107519e-13 1.523501362767621504e-12 1.523501362767621504e-12 1.385933999999999999e+00 1.206224476410631494e-15 6.768176839920499694e-20
1.340000000000000000e+02 7.617537965794039295e-13 1.523507593158807859e-12 1.523507593158807859e-12 1.377863999999999978e+00 1.188383716278943816e-15 6.569285330452979265e-20
1.350000000000000000e+02 7.617569350356079496e-13 1.523513870071215899e-12 1.523513870071215899e-12 1.369885000000000019e+00 1.170937213906521206e-15 6.377653670514821201e-20
1.360000000000000000e+02 7.617600967527102855e-13 1.523520193505420571e-12 1.523520193505420571e-12 1.361944000000000043e+00 1.153894131959375030e-15 6.193077135891879748e-20
1.370000000000000000e+02 7.617632817310006323e-13 1.523526563462001265e-12 1.523526563462001265e-12 1.354092000000000073e+00 1.137222020836530388e-15 6.015138161623454056e-20
1.380000000000000000e+02 7.617664899707703005e-13 1.523532979941540601e-12 1.523532979941540601e-12 1.346303000000000027e+00 1.120910180293044148e-15 5.843552185867189124e-20
1.390000000000000000e+02 7.617697214723133270e-13 1.523539442944626654e-12 1.523539442944626654e-12 1.338527000000000022e+00 1.104948293280744562e-15 5.678048783559838719e-20
1.400000000000000000e+02 7.617729762359255662e-13 1.523545952471851132e-12 1.523545952471851132e-12 1.330861000000000072e+00 1.089326409594320143e-15 5.518370869272138609e-20
1.410000000000000000e+02 7.617762542619049929e-13 1.523552508523809986e-12 1.523552508523809986e-12 1.323207999999999940e+00 1.074034930326016215e-15 5.364273950284767686e-20
1.420000000000000000e+02 7.617795555505521064e-13 1.523559111101104213e-12 1.523559111101104213e-12 1.315639999999999921e+00 1.059064593083565631e-15 5.215525426394000156e-20
1.430000000000000000e+02 7.617828801021689204e-13 1.523565760204337841e-12 1.523565760204337841e-12 1.308132000000000073e+00 1.044406457928825371e-15 5.071903933220791138e-20
1.440000000000000000e+02 7.617862279170600741e-13 1.523572455834120148e-12 1.523572455834120148e-12 1.300639000000000101e+00 1.030051893997228907e-15 4.933198726040368429e-20
1.450000000000000000e+02 7.617895989955318222e-13 1.523579197991063644e-12 1.523579197991063644e-12 1.293182999999999971e+00 1.015992566760646920e-15 4.799209101372918796e-20
1.460000000000000000e+02 7.617929933378931458e-13 1.523585986675786292e-12 1.523585986675786292e-12 1.285830999999999946e+00 1.002220425898532160e-15 4.669743853781251671e-20
1.470000000000000000e+02 7.617964109444549445e-13 1.523592821888909889e-12 1.523592821888909889e-12 1.278450000000000086e+00 9.887276937443699157e-16 4.544620765510066033e-20
1.480000000000000000e+02 7.617998518155299353e-13 1.523599703631059871e-12 1.523599703631059871e-12 1.271107999999999905e+00 9.755068542764612382e-16 4.423666126775173014e-20
1.490000000000000000e+02 7.618033159514333596e-13 1.523606631902866719e-12 1.523606631902866719e-12 1.263824999999999976e+00 9.625506426239179336e-16 4.306714284670774180e-20
1.500000000000000000e+02 7.618068033524825794e-13 1.523613606704965159e-12 1.523613606704965159e-12 1.256539000000000073e+00 9.498520350604972210e-16 4.193607218810142446e-20
1.510000000000000000e+02 7.618103140189966730e-13 1.523620628037993346e-12 1.523620628037993346e-12 1.249292000000000069e+00 9.374042394605268530e-16 4.084194141950709660e-20
1.520000000000000000e+02 7.618138479512973444e-13 1.523627695902594689e-12 1.523627695902594689e-12 1.242043999999999926e+00 9.252006861926924116e-16 3.978331123979585423e-20
1.530000000000000000e+02 7.618174051497083168e-13 1.523634810299416634e-12 1.523634810299416634e-12 1.234836999999999962e+00 9.132350194288721341e-16 3.875880737750921419e-20
1.540000000000000000e+02 7.618209856145551309e-13 1.523641971229110262e-12 1.523641971229110262e-12 1.227649999999999908e+00 9.015010888465431216e-16 3.776711725373033405e-20
1.550000000000000000e+02 7.618245893461657510e-13 1.523649178692331502e-12 1.523649178692331502e-12 1.220485000000000042e+00 8.899929417045157740e-16 3.680698683641504541e-20
1.560000000000000000e+02 7.618282163448701607e-13 1.523656432689740321e-12 1.523656432689740321e-12 1.213303000000000020e+00 8.787048152729242592e-16 3.587721767405374153e-20
1.570000000000000000e+02 7.618318666110007671e-13 1.523663733222001534e-12 1.523663733222001534e-12 1.206183000000000005e+00 8.676311295994834393e-16 3.497666409737496777e-20
1.580000000000000000e+02 7.618355401448913909e-13 1.523671080289782782e-12 1.523671080289782782e-12 1.199067000000000105e+00 8.567823761437268843e-16 3.410486331278269492e-20
1.590000000000000000e+02 7.618392369468788820e-13 1.523678473893757764e-12 1.523678473893757764e-12 1.191958000000000073e+00 8.461527098827662555e-16 3.326071972809615490e-20
1.600000000000000000e+02 7.618429570173016049e-13 1.523685914034603210e-12 1.523685914034603210e-12 1.184873000000000065e+00 8.357209795462446640e-16 3.244258460971446842e-20
1.610000000000000000e+02 7.618467003565003476e-13 1.523693400713000695e-12 1.523693400713000695e-12 1.177813999999999917e+00 8.254822928954689252e-16 3.164950129957322488e-20
1.620000000000000000e+02 7.618504669648178164e-13 1.523700933929635633e-12 1.523700933929635633e-12 1.170762999999999998e+00 8.154319080030948304e-16 3.088055396512515600e-20
1.630000000000000000e+02 7.618542568425989393e-13 1.523708513685197879e-12 1.523708513685197879e-12 1.163756000000000013e+00 8.055652277438532394e-16 3.013486561962641303e-20
1.640000000000000000e+02 7.618580699901907644e-13 1.523716139980381529e-12 1.523716139980381529e-12 1.156724000000000085e+00 7.958777945194310935e-16 2.941159624979420273e-20
