#    L    TT             EE             BB             TE          
   307    0.40175E+04    0.10398E+02    0.29145E-01    0.12426E+03
   308    0.39825E+04    0.10586E+02    0.29279E-01    0.12440E+03
   309    0.39476E+04    0.10773E+02    0.29412E-01    0.12449E+03
   310    0.39126E+04    0.10961E+02    0.29545E-01    0.12454E+03
   311    0.38776E+04    0.11151E+02    0.29676E-01    0.12456E+03
   312    0.38427E+04    0.11340E+02    0.29807E-01    0.12454E+03
   313    0.38078E+04    0.11531E+02    0.29938E-01    0.12448E+03
   314    0.37729E+04    0.11722E+02    0.30067E-01    0.12438E+03
   315    0.37381E+04    0.11912E+02    0.30196E-01    0.12424E+03
   316    0.37034E+04    0.12103E+02    0.30325E-01    0.12406E+03
   317    0.36687E+04    0.12294E+02    0.30452E-01    0.12385E+03
   318    0.36341E+04    0.12486E+02    0.30579E-01    0.12359E+03
   319    0.35996E+04    0.12677E+02    0.30705E-01    0.12330E+03
   320    0.35653E+04    0.12869E+02    0.30831E-01    0.12298E+03
   321    0.35310E+04    0.13061E+02    0.30956E-01    0.12261E+03
   322    0.34969E+04    0.13253E+02    0.31080E-01    0.12220E+03
   323    0.34629E+04    0.13444E+02    0.31203E-01    0.12176E+03
   324    0.34290E+04    0.13636E+02    0.31326E-01    0.12127E+03
   325    0.33954E+04    0.13825E+02    0.31448E-01    0.12075E+03
   326    0.33618E+04    0.14015E+02    0.31570E-01    0.12018E+03
   327    0.33284E+04    0.14205E+02    0.31691E-01    0.11959E+03
   328    0.32953E+04    0.14394E+02    0.31812E-01    0.11896E+03
   329    0.32623E+04    0.14583E+02    0.31931E-01    0.11828E+03
   330    0.32294E+04    0.14770E+02    0.32051E-01    0.11757E+03
   331    0.31969E+04    0.14957E+02    0.32169E-01    0.11682E+03
   332    0.31646E+04    0.15144E+02    0.32287E-01    0.11604E+03
   333    0.31324E+04    0.15329E+02    0.32405E-01    0.11523E+03
   334    0.31005E+04    0.15514E+02    0.32522E-01    0.11438E+03
   335    0.30688E+04    0.15696E+02    0.32638E-01    0.11348E+03
   336    0.30374E+04    0.15878E+02    0.32754E-01    0.11256E+03
   337    0.30062E+04    0.16060E+02    0.32869E-01    0.11159E+03
   338    0.29753E+04    0.16239E+02    0.32984E-01    0.11060E+03
   339    0.29447E+04    0.16418E+02    0.33099E-01    0.10957E+03
   340    0.29144E+04    0.16595E+02    0.33212E-01    0.10851E+03
   341    0.28842E+04    0.16770E+02    0.33326E-01    0.10741E+03
   342    0.28545E+04    0.16945E+02    0.33439E-01    0.10628E+03
   343    0.28250E+04    0.17118E+02    0.33551E-01    0.10511E+03
   344    0.27959E+04    0.17288E+02    0.33664E-01    0.10391E+03
   345    0.27670E+04    0.17457E+02    0.33775E-01    0.10269E+03
   346    0.27385E+04    0.17625E+02    0.33887E-01    0.10144E+03
   347    0.27103E+04    0.17790E+02    0.33998E-01    0.10014E+03
   348    0.26824E+04    0.17953E+02    0.34108E-01    0.98822E+02
   349    0.26549E+04    0.18115E+02    0.34219E-01    0.97468E+02
   350    0.26277E+04    0.18274E+02    0.34329E-01    0.96090E+02
   351    0.26010E+04    0.18431E+02    0.34438E-01    0.94680E+02
   352    0.25745E+04    0.18586E+02    0.34548E-01    0.93239E+02
   353    0.25484E+04    0.18739E+02    0.34657E-01    0.91780E+02
   354    0.25226E+04    0.18889E+02    0.34766E-01    0.90283E+02
   355    0.24973E+04    0.19037E+02    0.34874E-01    0.88762E+02
   356    0.24723E+04    0.19183E+02    0.34983E-01    0.87223E+02
   357    0.24477E+04    0.19326E+02    0.35091E-01    0.85653E+02
   358    0.24235E+04    0.19466E+02    0.35199E-01    0.84066E+02
   359    0.23997E+04    0.19603E+02    0.35307E-01    0.82448E+02
   360    0.23763E+04    0.19738E+02    0.35415E-01    0.80809E+02
   361    0.23533E+04    0.19870E+02    0.35522E-01    0.79145E+02
   362    0.23307E+04    0.19999E+02    0.35630E-01    0.77460E+02
   363    0.23085E+04    0.20126E+02    0.35737E-01    0.75754E+02
   364    0.22867E+04    0.20249E+02    0.35845E-01    0.74026E+02
   365    0.22653E+04    0.20370E+02    0.35952E-01    0.72279E+02
   366    0.22444E+04    0.20487E+02    0.36059E-01    0.70513E+02
   367    0.22239E+04    0.20600E+02    0.36167E-01    0.68728E+02
   368    0.22038E+04    0.20711E+02    0.36274E-01    0.66926E+02
   369    0.21842E+04    0.20820E+02    0.36381E-01    0.65106E+02
   370    0.21650E+04    0.20924E+02    0.36489E-01    0.63272E+02
   371    0.21462E+04    0.21025E+02    0.36596E-01    0.61420E+02
   372    0.21278E+04    0.21122E+02    0.36704E-01    0.59556E+02
   373    0.21099E+04    0.21217E+02    0.36811E-01    0.57675E+02
   374    0.20924E+04    0.21308E+02    0.36919E-01    0.55782E+02
   375    0.20753E+04    0.21395E+02    0.37027E-01    0.53877E+02
   376    0.20588E+04    0.21480E+02    0.37135E-01    0.51960E+02
   377    0.20427E+04    0.21560E+02    0.37244E-01    0.50034E+02
   378    0.20270E+04    0.21636E+02    0.37352E-01    0.48095E+02
   379    0.20117E+04    0.21709E+02    0.37461E-01    0.46149E+02
   380    0.19970E+04    0.21780E+02    0.37570E-01    0.44192E+02
   381    0.19826E+04    0.21843E+02    0.37680E-01    0.42229E+02
   382    0.19687E+04    0.21906E+02    0.37789E-01    0.40259E+02
   383    0.19552E+04    0.21963E+02    0.37899E-01    0.38282E+02
   384    0.19423E+04    0.22017E+02    0.38009E-01    0.36300E+02
   385    0.19298E+04    0.22068E+02    0.38120E-01    0.34313E+02
   386    0.19177E+04    0.22114E+02    0.38231E-01    0.32323E+02
   387    0.19060E+04    0.22156E+02    0.38342E-01    0.30329E+02
   388    0.18948E+04    0.22195E+02    0.38454E-01    0.28334E+02
   389    0.18841E+04    0.22227E+02    0.38566E-01    0.26337E+02
   390    0.18738E+04    0.22259E+02    0.38679E-01    0.24340E+02
   391    0.18640E+04    0.22285E+02    0.38792E-01    0.22342E+02
   392    0.18546E+04    0.22309E+02    0.38906E-01    0.20346E+02
   393    0.18457E+04    0.22328E+02    0.39020E-01    0.18351E+02
   394    0.18371E+04    0.22343E+02    0.39135E-01    0.16359E+02
