#    L    TT             EE             BB             TE             PP             TP             EP          
   177    0.53299E+04    0.85219E+00    0.00000E+00   -0.38768E+02    0.59183E-07    0.17432E-03   -0.72699E-06
   178    0.53549E+04    0.84132E+00    0.00000E+00   -0.38082E+02    0.58853E-07    0.17287E-03   -0.71417E-06
   179    0.53795E+04    0.83037E+00    0.00000E+00   -0.37367E+02    0.58527E-07    0.17143E-03   -0.70111E-06
   180    0.54038E+04    0.81955E+00    0.00000E+00   -0.36625E+02    0.58203E-07    0.17000E-03   -0.68784E-06
   181    0.54275E+04    0.80887E+00    0.00000E+00   -0.35856E+02    0.57882E-07    0.16859E-03   -0.67436E-06
   182    0.54508E+04    0.79839E+00    0.00000E+00   -0.35058E+02    0.57563E-07    0.16720E-03   -0.66068E-06
   183    0.54735E+04    0.78806E+00    0.00000E+00   -0.34233E+02    0.57248E-07    0.16582E-03   -0.64682E-06
   184    0.54959E+04    0.77793E+00    0.00000E+00   -0.33381E+02    0.56935E-07    0.16446E-03   -0.63279E-06
   185    0.55177E+04    0.76816E+00    0.00000E+00   -0.32503E+02    0.56625E-07    0.16311E-03   -0.61860E-06
   186    0.55388E+04    0.75861E+00    0.00000E+00   -0.31597E+02    0.56317E-07    0.16177E-03   -0.60426E-06
   187    0.55597E+04    0.74942E+00    0.00000E+00   -0.30663E+02    0.56013E-07    0.16045E-03   -0.58979E-06
   188    0.55800E+04    0.74058E+00    0.00000E+00   -0.29704E+02    0.55710E-07    0.15914E-03   -0.57519E-06
   189    0.55998E+04    0.73211E+00    0.00000E+00   -0.28718E+02    0.55411E-07    0.15784E-03   -0.56049E-06
   190    0.56193E+04    0.72408E+00    0.00000E+00   -0.27707E+02    0.55114E-07    0.15656E-03   -0.54568E-06
   191    0.56380E+04    0.71650E+00    0.00000E+00   -0.26668E+02    0.54819E-07    0.15529E-03   -0.53079E-06
   192    0.56562E+04    0.70940E+00    0.00000E+00   -0.25604E+02    0.54527E-07    0.15403E-03   -0.51583E-06
   193    0.56739E+04    0.70283E+00    0.00000E+00   -0.24515E+02    0.54238E-07    0.15278E-03   -0.50080E-06
   194    0.56912E+04    0.69680E+00    0.00000E+00   -0.23400E+02    0.53951E-07    0.15155E-03   -0.48573E-06
   195    0.57078E+04    0.69137E+00    0.00000E+00   -0.22261E+02    0.53666E-07    0.15032E-03   -0.47061E-06
   196    0.57239E+04    0.68656E+00    0.00000E+00   -0.21097E+02    0.53384E-07    0.14911E-03   -0.45547E-06
   197    0.57394E+04    0.68242E+00    0.00000E+00   -0.19909E+02    0.53104E-07    0.14790E-03   -0.44032E-06
   198    0.57545E+04    0.67898E+00    0.00000E+00   -0.18698E+02    0.52827E-07    0.14671E-03   -0.42516E-06
   199    0.57689E+04    0.67627E+00    0.00000E+00   -0.17463E+02    0.52551E-07    0.14553E-03   -0.41002E-06
   200    0.57829E+04    0.67431E+00    0.00000E+00   -0.16205E+02    0.52278E-07    0.14435E-03   -0.39490E-06
   201    0.57962E+04    0.67318E+00    0.00000E+00   -0.14924E+02    0.52008E-07    0.14319E-03   -0.37981E-06
   202    0.58090E+04    0.67288E+00    0.00000E+00   -0.13620E+02    0.51739E-07    0.14204E-03   -0.36475E-06
   203    0.58212E+04    0.67346E+00    0.00000E+00   -0.12294E+02    0.51473E-07    0.14089E-03   -0.34973E-06
   204    0.58327E+04    0.67496E+00    0.00000E+00   -0.10949E+02    0.51209E-07    0.13975E-03   -0.33475E-06
   205    0.58436E+04    0.67742E+00    0.00000E+00   -0.95812E+01    0.50947E-07    0.13863E-03   -0.31980E-06
   206    0.58539E+04    0.68087E+00    0.00000E+00   -0.81929E+01    0.50688E-07    0.13751E-03   -0.30489E-06
